time_d,female_1,female_2,female_3,female_4,female_5,female_6,female_7
1,102,200,98,186,174,247,248
2,222,210,158,186,162,223,253
3,298,219,54,296,90,182,252
4,365,0,165,285,0,286,257
5,427,0,94,286,271,436,0
6,332,0,152,239,195,336,426
7,344,595,86,271,254,277,0
8,431,0,113,232,137,256,446
9,296,320,72,192,203,236,0
10,343,0,193,0,132,196,444
11,0,0,112,0,0,278,0
12,0,0,135,326,317,346,354
13,0,0,180,0,124,314,0
14,290,0,76,0,0,346,504
15,395,0,137,0,334,264,0
16,290,282,44,0,154,216,312
17,0,0,104,0,112,218,0
18,596,0,129,0,82,304,0
19,0,0,144,0,0,304,0
20,536,0,188,0,298,250,0
