time_d,total_length_cm
2.74878081,0.318144185
3.49815699,0.345339935
3.89010948,0.29813093
4.99499237,0.406487831
5.75012189,0.413414737
5.95281122,0.366163105
7.81666248,0.467934293
8.21053442,0.41396889
9.31349909,0.529082189
10.2885818,0.427950408
10.4586642,0.495556313
11.1888571,0.59031534
11.7950094,0.455316667
11.9401527,0.610754867
12.5175295,0.577101109
13.6435126,0.61113851
13.6684492,0.523306215
15.1710404,0.564185269
15.7138896,0.65214527
15.7311534,0.591338391
16.0751521,0.71303758
18.1436109,0.760800737
18.1685475,0.672968441
19.2945306,0.707005843
19.317549,0.625929945
20.2139879,0.801807497
21.1813978,0.727701132
22.1430555,0.673863611
22.4832178,0.80907542
24.1616411,0.89729136
24.1731503,0.856753323
24.2230235,0.681088907
26.4270322,0.918071727
28.325411,0.898229156
28.4993298,0.952322265
29.2717232,0.898442291
30.5524406,1.05413608
30.5639498,1.01359804
31.1317381,1.01372592
32.2442961,1.09505776
32.2941694,0.919393169
33.3875406,1.06828811
34.3204253,1.1157955
34.3511165,1.00769436
35.4406513,1.17010192
37.3025844,1.27862933
42.3858141,1.37436896
42.5980969,1.29333551
44.4542754,1.42213211
48.4230288,1.44329613
48.7862071,1.49743204
52.5618646,1.53206622
54.5938751,1.70819953
